benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,abcdSAT_drup,default,154067,complete,3878.55,UNSAT,complete,3251.16,5076704.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,glucose_hack_kiel_newScript,main_new,154744,complete,1352.47,UNSAT,complete,1178.05,3227512.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Beans And Eggs,default,154732,complete,3340.93,UNSAT,complete,1503.73,5074328.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,cmsat5_main2,default,154241,timeout (cpu),4998.82,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,cmsat5_autotune2,default,154243,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,glueminisat-2.2.10-81-main,maintrack,154247,complete,4288.1,UNSAT,complete,4848.78,1.0391468E7,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,gulch,default,154330,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,YalSAT 03r,default,154460,timeout (cpu),4997.21,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Lingeling bbc main,default,154468,complete,1474.36,UNSAT,complete,1268.43,2269068.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,glucose,default,154473,complete,3459.89,UNSAT,complete,1507.1,5074200.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,CHBR_glucose,default,154584,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,CHBR_glucose_tuned,default,154586,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,tb_glucose,default,154588,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,tc_glucose,default,154590,complete,1302.98,UNSAT,complete,810.63,3452764.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,COMiniSatPS Chandrasekhar DRUP,drup,154592,timeout (cpu),4998.62,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,timeout (cpu),4998.33,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,complete,2627.12,UNSAT,complete,1483.56,5075124.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,complete,3279.85,UNSAT,complete,1602.1,1.0392792E7,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Splatz 06v main,default,154625,complete,1123.72,UNSAT,complete,308.43,2221944.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Riss6,noPP_DRAT,154658,complete,2416.46,UNSAT,complete,1394.4,4735788.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Riss6,default_DRAT,154659,complete,2722.23,UNSAT,complete,1415.21,5073800.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Riss6,blackbox_DRAT,154660,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,Glucose_nbSat,default,155265,complete,3923.06,UNSAT,complete,1656.55,5074460.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,MapleCMS,default,154687,timeout (cpu),4999.53,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x135_shuffled.cnf,2888775,MapleGlucose,default,154710,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,glue_alt,default,152939,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,GHackCOMSPS_DRUP,ghack_drup,153211,complete,3806.89,UNSAT,complete,2044.19,7001704.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x155_shuffled.cnf,2888753,glucosePLE,default,153967,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
